customer_id,prev_slot,morning_ratio,is_weekend,Channel,Sex,Age,Amount,time_slot
1,Evening,0.67,1,In-Store,M,21.0,,Morning
2,Morning,0.52,1,In-Store,F,47.0,367.2,Morning
3,Evening,0.77,1,Online,F,48.0,432.23,Morning
4,Evening,0.52,1,In-Store,F,55.0,144.3,Morning
5,Morning,0.85,1,Online,M,28.0,405.46,Evening
6,Morning,0.55,1,Online,F,52.0,105.67,Morning
7,Evening,0.56,0,In-Store,F,25.0,179.22,Afternoon
8,Afternoon,0.88,0,In-Store,F,20.0,174.45,Morning
9,Evening,,1,In-Store,F,31.0,489.48,Morning
10,Evening,0.13,0,In-Store,F,77.0,429.7,Afternoon
11,Evening,0.03,1,In-Store,M,30.0,353.57,Afternoon
12,Evening,0.76,1,Online,F,62.0,366.26,Afternoon
13,Morning,0.62,0,Online,F,49.0,285.42,Morning
14,Evening,0.7,1,In-Store,F,51.0,,Morning
15,Afternoon,0.21,1,In-Store,F,62.0,253.17,Morning
16,Morning,0.14,1,In-Store,M,78.0,,Afternoon
17,Afternoon,0.01,1,Online,M,36.0,89.89,Evening
18,Afternoon,0.35,0,,M,76.0,,Morning
19,Afternoon,0.59,1,In-Store,F,55.0,369.88,Afternoon
20,Afternoon,0.39,1,Online,F,33.0,198.33,Afternoon
21,,0.44,1,Online,M,19.0,22.34,Evening
22,Morning,0.9,0,In-Store,M,57.0,421.11,Evening
23,Afternoon,0.35,1,In-Store,M,34.0,15.59,Afternoon
24,Afternoon,0.51,0,In-Store,F,72.0,354.81,Afternoon
25,Morning,0.78,0,,F,51.0,485.43,Evening
26,Morning,0.4,1,In-Store,M,59.0,224.45,Morning
27,,0.62,1,In-Store,M,77.0,125.14,Morning
28,Evening,0.86,0,In-Store,M,33.0,355.39,Morning
29,,0.95,1,Online,F,,410.39,Evening
30,Evening,0.15,0,Online,F,77.0,,Evening
31,Afternoon,0.93,0,In-Store,F,19.0,483.85,Morning
32,Evening,0.49,1,In-Store,M,19.0,35.32,Afternoon
33,Afternoon,0.26,1,Online,M,43.0,257.35,Afternoon
34,,0.46,0,Online,F,30.0,362.04,Morning
35,Evening,0.98,0,,M,73.0,432.69,Evening
36,Afternoon,0.49,0,Online,F,64.0,97.84,Morning
37,Evening,0.33,0,Online,M,48.0,402.0,Morning
38,Evening,0.63,1,Online,M,77.0,280.83,Afternoon
39,Morning,0.24,1,Online,M,51.0,204.31,Evening
40,Evening,0.08,1,Online,M,56.0,74.54,Morning
41,,0.13,1,Online,F,20.0,433.99,Evening
42,Evening,0.13,1,In-Store,M,25.0,87.06,Afternoon
43,Evening,0.15,0,In-Store,F,40.0,161.8,Morning
44,Morning,0.14,1,In-Store,F,31.0,152.12,Morning
45,Morning,0.64,1,Online,F,73.0,,Afternoon
46,,0.18,1,,M,79.0,339.62,Afternoon
47,Afternoon,0.35,1,Online,F,72.0,400.37,Evening
48,Morning,0.9,1,Online,F,44.0,132.73,Evening
49,Afternoon,0.47,0,In-Store,F,71.0,316.19,Evening
50,Afternoon,0.67,0,Online,M,46.0,290.16,Morning
51,Afternoon,0.17,0,In-Store,M,56.0,418.09,Evening
52,Morning,0.19,1,In-Store,F,70.0,453.98,Afternoon
53,Afternoon,0.04,0,,M,56.0,15.96,Afternoon
54,Morning,0.17,0,Online,F,18.0,340.27,Morning
55,,0.28,1,In-Store,F,34.0,,Morning
56,Evening,0.18,1,Online,M,58.0,278.94,Evening
57,,,1,In-Store,F,47.0,150.94,Afternoon
58,Morning,0.12,0,In-Store,M,70.0,160.32,Afternoon
59,Evening,0.46,0,In-Store,M,,182.95,Afternoon
60,Evening,0.21,1,Online,F,,314.43,Morning
61,Afternoon,0.36,1,Online,M,36.0,173.68,Afternoon
62,Morning,0.5,0,Online,M,70.0,369.02,Morning
63,Afternoon,0.69,0,,F,36.0,208.22,Evening
64,Afternoon,0.04,1,In-Store,F,74.0,43.49,Evening
65,Afternoon,0.8,1,Online,M,42.0,394.04,Morning
66,Afternoon,0.63,0,Online,M,39.0,150.02,Morning
67,Afternoon,0.08,1,Online,F,48.0,222.06,Afternoon
68,Afternoon,0.87,0,Online,M,34.0,345.87,Evening
69,Afternoon,0.92,0,Online,M,72.0,172.9,Morning
70,Morning,0.06,0,Online,M,40.0,37.73,Afternoon
71,Evening,0.28,0,In-Store,M,49.0,193.22,Morning
72,Afternoon,0.81,1,,M,79.0,472.78,Morning
73,Afternoon,0.75,1,In-Store,M,27.0,324.45,Morning
74,Afternoon,0.18,0,In-Store,M,27.0,339.02,Evening
75,Afternoon,0.21,0,Online,F,53.0,319.82,Morning
76,Afternoon,0.37,0,Online,F,25.0,107.51,Morning
77,Afternoon,0.48,0,In-Store,F,71.0,214.98,Evening
78,Evening,0.62,0,Online,F,69.0,377.96,Evening
79,Evening,0.37,1,Online,F,,59.67,Morning
80,Afternoon,0.46,1,In-Store,M,49.0,146.15,Afternoon
81,Evening,0.75,1,In-Store,M,67.0,145.4,Morning
82,Morning,0.04,1,In-Store,M,31.0,221.69,Evening
83,Afternoon,0.25,0,Online,M,67.0,490.38,Morning
84,Morning,0.71,0,In-Store,F,,43.08,Evening
85,Morning,0.9,0,Online,M,63.0,264.16,Afternoon
86,Afternoon,0.51,0,In-Store,M,69.0,97.89,Afternoon
87,Evening,0.53,0,In-Store,F,70.0,485.63,Morning
88,,0.11,1,In-Store,M,41.0,65.52,Afternoon
89,Afternoon,0.45,0,Online,M,32.0,207.76,Morning
90,Morning,0.53,1,Online,F,,371.56,Morning
91,Morning,0.24,1,In-Store,M,47.0,355.23,Afternoon
92,Morning,0.27,1,In-Store,M,21.0,217.14,Evening
93,Morning,0.38,1,,M,30.0,179.8,Afternoon
94,Evening,0.02,0,Online,M,76.0,204.83,Evening
95,,0.32,1,In-Store,M,40.0,139.5,Morning
96,Morning,,1,Online,F,25.0,110.61,Afternoon
97,Morning,0.33,1,In-Store,F,35.0,246.69,Morning
98,Evening,0.12,0,In-Store,F,29.0,141.58,Afternoon
99,Morning,0.89,0,In-Store,F,72.0,,Evening
100,Morning,0.59,0,In-Store,F,48.0,331.81,Afternoon
101,Evening,0.68,1,In-Store,F,31.0,484.58,Morning
102,Evening,0.79,1,In-Store,M,51.0,305.78,Morning
103,Evening,0.5,0,Online,F,35.0,47.72,Afternoon
104,Morning,0.09,1,In-Store,F,73.0,47.04,Afternoon
105,Evening,0.54,0,Online,M,51.0,476.2,Evening
106,,0.59,0,In-Store,M,28.0,155.67,Evening
107,Morning,0.75,1,In-Store,F,58.0,55.11,Afternoon
108,,0.43,1,Online,M,,303.53,Morning
109,Morning,0.13,1,In-Store,F,66.0,315.59,Afternoon
110,Afternoon,0.28,1,Online,M,32.0,327.77,Morning
111,Evening,0.36,0,Online,F,74.0,141.03,Morning
112,Afternoon,0.65,0,,M,48.0,17.4,Morning
113,Morning,0.57,0,Online,M,66.0,482.86,Afternoon
114,Evening,0.36,0,Online,F,75.0,132.94,Afternoon
115,,0.99,0,In-Store,F,46.0,341.25,Morning
116,Afternoon,0.61,1,Online,F,43.0,356.25,Morning
117,,0.24,0,In-Store,F,35.0,308.9,Morning
118,Evening,0.1,0,In-Store,F,,,Morning
119,Evening,0.15,0,,M,39.0,142.84,Evening
120,Afternoon,0.25,1,In-Store,F,,302.86,Morning
121,Morning,0.16,1,Online,F,34.0,434.39,Afternoon
122,Evening,,1,In-Store,M,40.0,473.9,Morning
123,Afternoon,0.29,1,In-Store,M,41.0,61.89,Evening
124,Evening,0.17,0,Online,F,67.0,85.87,Afternoon
125,,0.9,0,In-Store,M,25.0,472.92,Morning
126,,0.08,1,In-Store,M,58.0,370.9,Afternoon
127,Evening,0.52,1,Online,F,23.0,442.67,Afternoon
128,Morning,0.41,0,Online,M,22.0,109.29,Evening
129,Evening,0.98,0,Online,M,61.0,297.92,Morning
130,Afternoon,0.11,1,Online,F,74.0,353.56,Evening
131,Evening,0.4,1,,F,46.0,343.25,Evening
132,Morning,0.97,1,Online,M,45.0,209.99,Evening
133,Morning,,1,Online,M,28.0,17.54,Afternoon
134,Afternoon,0.82,0,In-Store,F,74.0,295.63,Afternoon
135,Evening,0.26,0,Online,M,18.0,134.02,Afternoon
136,Evening,0.17,0,Online,M,60.0,230.62,Evening
137,Afternoon,0.67,1,Online,M,36.0,479.21,Morning
138,Evening,0.93,1,In-Store,F,26.0,205.53,Afternoon
139,Evening,0.56,0,In-Store,M,44.0,421.5,Morning
140,Morning,0.57,0,Online,M,51.0,102.38,Afternoon
141,Evening,0.28,0,Online,F,61.0,339.51,Evening
142,Evening,0.77,0,Online,M,21.0,488.73,Morning
143,Afternoon,0.19,1,,M,53.0,59.93,Evening
144,Afternoon,0.32,0,In-Store,F,35.0,14.08,Afternoon
145,Morning,0.43,0,Online,F,32.0,222.46,Evening
146,Evening,0.51,0,,F,68.0,55.39,Morning
147,Evening,,0,Online,F,,376.71,Afternoon
148,Evening,0.11,0,In-Store,M,36.0,458.13,Evening
149,Morning,0.61,0,In-Store,M,66.0,222.67,Morning
150,,0.29,0,Online,F,23.0,136.77,Evening
151,Afternoon,0.58,1,,F,65.0,222.86,Morning
152,Morning,0.15,1,,M,73.0,364.49,Afternoon
153,Evening,0.48,1,Online,F,29.0,14.44,Morning
154,Evening,0.53,1,In-Store,M,68.0,298.83,Afternoon
155,Morning,0.05,0,In-Store,F,54.0,310.51,Afternoon
156,Evening,0.34,1,In-Store,M,34.0,322.47,Morning
157,Evening,0.13,1,Online,F,75.0,128.59,Afternoon
158,Morning,0.06,0,In-Store,F,40.0,359.89,Morning
159,,0.99,0,Online,M,43.0,54.78,Evening
160,,0.32,1,In-Store,F,46.0,107.64,Evening
161,Evening,0.81,1,Online,M,50.0,439.96,Morning
162,Evening,0.25,0,Online,M,77.0,371.97,Evening
163,Afternoon,0.68,1,,M,44.0,16.74,Morning
164,Afternoon,0.76,0,Online,M,42.0,131.7,Afternoon
165,Afternoon,0.6,0,Online,M,73.0,,Evening
166,Morning,0.47,0,In-Store,F,72.0,142.7,Evening
167,Afternoon,,0,Online,F,27.0,131.3,Morning
168,Morning,0.35,1,Online,M,64.0,40.64,Evening
169,,0.93,0,Online,F,40.0,234.88,Morning
170,Afternoon,0.83,0,In-Store,M,38.0,369.04,Evening
171,Afternoon,,1,In-Store,F,,307.3,Morning
172,Afternoon,0.12,0,,F,60.0,339.71,Afternoon
173,Evening,0.73,1,In-Store,F,30.0,49.76,Afternoon
174,Afternoon,0.94,1,Online,F,54.0,476.23,Afternoon
175,Evening,0.18,1,Online,M,50.0,,Morning
176,Morning,0.07,0,Online,M,41.0,,Evening
177,Evening,,1,Online,F,61.0,413.26,Morning
178,Afternoon,0.57,1,Online,F,28.0,467.03,Afternoon
179,Morning,0.84,0,In-Store,M,34.0,276.68,Morning
180,Morning,0.14,1,Online,F,21.0,108.14,Afternoon
181,Morning,0.8,1,In-Store,M,64.0,312.22,Morning
182,Evening,0.2,1,In-Store,M,42.0,374.01,Afternoon
183,Afternoon,0.16,1,Online,M,47.0,371.58,Morning
184,Morning,0.16,1,Online,F,26.0,265.51,Morning
185,Morning,0.81,0,In-Store,M,38.0,43.54,Morning
186,Morning,0.67,1,In-Store,F,37.0,191.85,Afternoon
187,Evening,0.52,1,In-Store,M,36.0,461.18,Evening
188,Evening,,0,Online,F,36.0,296.38,Morning
189,Afternoon,0.88,0,In-Store,F,29.0,273.78,Morning
190,Evening,0.39,0,Online,F,54.0,141.74,Morning
191,Morning,,1,Online,M,,,Morning
192,Afternoon,0.44,0,Online,M,34.0,448.72,Afternoon
193,Morning,,1,In-Store,F,,336.57,Afternoon
194,Morning,0.46,1,Online,F,71.0,395.82,Morning
195,Evening,0.3,0,Online,F,65.0,232.63,Morning
196,Afternoon,0.75,0,Online,M,56.0,,Morning
197,,0.5,1,Online,M,45.0,131.71,Evening
198,Evening,0.23,0,Online,M,58.0,,Evening
199,,0.9,1,In-Store,M,52.0,219.52,Morning
200,Morning,0.38,0,Online,F,64.0,226.85,Morning
201,Morning,0.54,0,Online,F,65.0,328.17,Evening
202,Afternoon,,0,In-Store,M,35.0,468.78,Evening
203,Morning,0.62,1,Online,M,31.0,41.36,Morning
204,Afternoon,0.12,0,In-Store,F,52.0,414.12,Morning
205,,0.94,1,Online,M,61.0,153.27,Morning
206,Evening,0.63,1,In-Store,M,58.0,,Afternoon
207,Afternoon,0.33,1,In-Store,M,77.0,20.74,Afternoon
208,Evening,0.14,1,Online,M,24.0,157.51,Morning
209,Morning,0.79,0,Online,M,58.0,256.29,Morning
210,Morning,0.62,1,Online,M,30.0,37.53,Morning
211,,0.53,1,,F,,250.64,Evening
212,Morning,0.89,0,In-Store,M,54.0,464.28,Morning
213,,0.79,1,In-Store,M,30.0,61.64,Morning
214,Morning,0.15,0,Online,F,53.0,384.58,Afternoon
215,Afternoon,0.31,1,In-Store,F,48.0,210.74,Afternoon
216,Afternoon,,0,In-Store,F,19.0,331.04,Evening
217,Afternoon,0.74,1,Online,M,,137.52,Morning
218,Evening,0.03,0,In-Store,F,26.0,88.15,Afternoon
219,Morning,0.57,1,In-Store,M,26.0,88.63,Afternoon
