customer_id,transaction_date,channel,time_slot,amount,is_weekend
103,2022-01-01 00:00:00,Online,Evening,12.45,1
180,2022-01-01 06:00:00,In-Store,Morning,79.53,1
93,2022-01-01 12:00:00,Online,Morning,,1
15,2022-01-01 18:00:00,Online,Morning,158.98,1
107,2022-01-02 00:00:00,In-Store,Morning,178.74,1
72,2022-01-02 06:00:00,Online,Afternoon,226.74,1
189,2022-01-02 12:00:00,Online,Morning,188.93,1
21,2022-01-02 18:00:00,Online,Afternoon,182.08,1
103,2022-01-03 00:00:00,Online,Morning,20.79,0
122,2022-01-03 06:00:00,In-Store,Afternoon,116.08,0
75,2022-01-03 12:00:00,Online,,73.46,0
88,2022-01-03 18:00:00,Online,Morning,83.28,0
117,2022-01-04 00:00:00,In-Store,Afternoon,168.53,0
100,2022-01-04 06:00:00,Online,Evening,63.85,0
104,2022-01-04 12:00:00,In-Store,Morning,91.71,0
152,2022-01-04 18:00:00,Online,Morning,74.94,0
131,2022-01-05 00:00:00,In-Store,Morning,284.81,0
150,2022-01-05 06:00:00,In-Store,Afternoon,283.68,0
53,2022-01-05 12:00:00,In-Store,Afternoon,184.93,0
2,2022-01-05 18:00:00,In-Store,Evening,277.73,0
88,2022-01-06 00:00:00,Online,Afternoon,236.81,0
158,2022-01-06 06:00:00,In-Store,,179.03,0
38,2022-01-06 12:00:00,Online,Morning,6.9,0
130,2022-01-06 18:00:00,In-Store,Morning,232.89,0
192,2022-01-07 00:00:00,In-Store,Morning,212.23,0
188,2022-01-07 06:00:00,In-Store,Morning,186.5,0
21,2022-01-07 12:00:00,Online,Morning,229.33,0
161,2022-01-07 18:00:00,In-Store,Morning,156.31,0
58,2022-01-08 00:00:00,Online,Morning,212.7,1
22,2022-01-08 06:00:00,Online,Evening,280.88,1
89,2022-01-08 12:00:00,Online,,115.86,1
49,2022-01-08 18:00:00,Online,Evening,213.9,1
59,2022-01-09 00:00:00,Online,Evening,145.33,1
170,2022-01-09 06:00:00,Online,Morning,203.95,1
188,2022-01-09 12:00:00,Online,Evening,230.05,1
15,2022-01-09 18:00:00,Online,Morning,18.41,1
190,2022-01-10 00:00:00,Online,Evening,195.75,0
190,2022-01-10 06:00:00,In-Store,Afternoon,71.89,0
175,2022-01-10 12:00:00,In-Store,Evening,202.66,0
190,2022-01-10 18:00:00,In-Store,Evening,143.16,0
51,2022-01-11 00:00:00,In-Store,Morning,233.2,0
